iter	Passed	Remaining
662	981	498
663	983	497
664	984	496
665	986	494
666	987	493
667	989	491
668	990	490
669	991	488
670	993	487
671	994	485
672	996	484
673	998	483
674	1000	481
675	1003	480
676	1012	483
677	1014	481
678	1016	480
679	1018	479
680	1019	477
681	1021	476
682	1022	474
683	1023	473
684	1025	471
685	1026	469
686	1028	468
687	1029	466
688	1031	465
689	1032	464
690	1035	463
691	1036	461
692	1038	459
693	1039	458
694	1041	456
695	1043	455
696	1044	453
697	1045	452
698	1047	451
699	1050	450
700	1052	448
701	1053	447
702	1055	445
703	1056	444
704	1058	442
705	1060	441
706	1062	440
707	1063	438
708	1065	437
709	1067	435
710	1068	434
711	1070	432
712	1073	431
713	1074	430
714	1076	429
715	1078	427
716	1080	426
717	1081	424
718	1083	423
719	1085	422
720	1086	420
721	1088	419
722	1090	417
723	1091	416
724	1093	414
725	1095	413
726	1097	412
727	1099	410
728	1100	409
729	1102	407
730	1103	406
731	1105	404
732	1107	403
733	1109	402
734	1110	400
735	1111	398
736	1113	397
737	1115	395
738	1116	394
739	1118	392
740	1119	391
741	1121	389
742	1122	388
743	1123	386
744	1125	385
745	1126	383
746	1127	381
747	1129	380
748	1130	378
749	1131	377
750	1133	375
751	1134	374
752	1136	372
753	1137	371
754	1138	369
755	1139	367
756	1141	366
757	1142	364
758	1143	363
759	1144	361
760	1145	359
761	1147	358
762	1150	357
763	1151	355
764	1153	354
765	1154	352
766	1155	351
767	1157	349
768	1158	348
769	1160	346
770	1161	344
771	1162	343
772	1164	341
773	1165	340
774	1167	338
775	1169	337
776	1170	335
777	1171	334
778	1172	332
779	1174	331
780	1176	329
781	1177	328
782	1179	326
783	1180	325
784	1181	323
785	1183	322
786	1184	320
787	1186	319
788	1187	317
789	1189	316
790	1190	314
791	1192	313
792	1193	311
793	1194	310
794	1196	308
795	1197	306
796	1198	305
797	1199	303
798	1201	302
799	1202	300
800	1203	299
801	1204	297
802	1206	295
803	1207	294
804	1208	292
805	1210	291
806	1211	289
807	1212	288
808	1213	286
809	1214	284
810	1216	283
811	1217	281
812	1218	280
813	1219	278
814	1221	277
815	1222	275
816	1223	274
817	1225	272
818	1226	271
819	1228	269
820	1229	268
821	1230	266
822	1232	264
823	1233	263
824	1234	261
825	1236	260
826	1237	258
